Method,k,Mean,Std,95% CI,Median
LIME,5,0.628,0.480,"[0.585, 0.669]",1.000
LIME,10,0.646,0.474,"[0.604, 0.685]",1.000
LIME,15,0.650,0.472,"[0.609, 0.690]",1.000
LIME,20,0.652,0.471,"[0.610, 0.693]",1.000
SHAP,5,0.667,0.471,"[0.625, 0.708]",1.000
SHAP,10,0.667,0.471,"[0.625, 0.708]",1.000
SHAP,15,0.667,0.471,"[0.625, 0.708]",1.000
SHAP,20,0.667,0.471,"[0.625, 0.708]",1.000
