Method,k,Mean,Std,95% CI,Median
LIME,5,0.565,0.429,"[0.527, 0.602]",0.667
LIME,10,0.618,0.445,"[0.577, 0.656]",1.000
LIME,15,0.599,0.435,"[0.561, 0.635]",0.667
LIME,20,0.623,0.426,"[0.586, 0.660]",0.667
SHAP,5,0.700,0.455,"[0.657, 0.739]",1.000
SHAP,10,0.696,0.452,"[0.654, 0.734]",1.000
SHAP,15,0.690,0.457,"[0.649, 0.730]",1.000
SHAP,20,0.689,0.460,"[0.648, 0.729]",1.000
