Method,k,Mean,Std,95% CI,Median
LIME,5,0.875,0.218,"[0.855, 0.893]",1.000
LIME,10,0.862,0.240,"[0.840, 0.883]",1.000
LIME,15,0.855,0.253,"[0.833, 0.877]",1.000
LIME,20,0.859,0.241,"[0.838, 0.879]",1.000
SHAP,5,0.352,0.478,"[0.309, 0.391]",0.000
SHAP,10,0.352,0.478,"[0.309, 0.391]",0.000
SHAP,15,0.352,0.478,"[0.309, 0.391]",0.000
SHAP,20,0.352,0.478,"[0.309, 0.391]",0.000
