Method,k,Mean,Std,95% CI,Median
LIME,5,0.151,0.250,"[0.136, 0.167]",0.000
LIME,10,0.404,0.424,"[0.378, 0.431]",0.333
LIME,15,0.550,0.422,"[0.524, 0.576]",0.667
LIME,20,0.683,0.396,"[0.658, 0.707]",1.000
SHAP,5,0.223,0.299,"[0.205, 0.243]",0.000
SHAP,10,0.429,0.425,"[0.402, 0.456]",0.333
SHAP,15,0.629,0.391,"[0.604, 0.654]",0.667
SHAP,20,0.771,0.395,"[0.746, 0.795]",1.000
