Method,k,Mean,Std,95% CI,Median
LIME,5,0.421,0.435,"[0.394, 0.448]",0.333
LIME,10,0.517,0.431,"[0.491, 0.545]",0.667
LIME,15,0.554,0.408,"[0.529, 0.579]",0.667
LIME,20,0.587,0.399,"[0.562, 0.613]",0.667
SHAP,5,0.720,0.394,"[0.694, 0.744]",1.000
SHAP,10,0.812,0.323,"[0.791, 0.831]",1.000
SHAP,15,0.855,0.280,"[0.837, 0.872]",1.000
SHAP,20,0.847,0.299,"[0.827, 0.864]",1.000
