Method,k,Mean,Std,95% CI,Median
LIME,5,0.431,0.414,"[0.394, 0.466]",0.667
LIME,10,0.568,0.455,"[0.529, 0.606]",0.667
LIME,15,0.634,0.444,"[0.593, 0.672]",1.000
LIME,20,0.649,0.443,"[0.609, 0.688]",1.000
SHAP,5,0.549,0.408,"[0.512, 0.583]",0.667
SHAP,10,0.681,0.454,"[0.639, 0.719]",1.000
SHAP,15,0.680,0.450,"[0.639, 0.717]",1.000
SHAP,20,0.685,0.449,"[0.645, 0.723]",1.000
