Method,k,Mean,Std,95% CI,Median
LIME,5,0.730,0.306,"[0.711, 0.749]",0.667
LIME,10,0.790,0.290,"[0.770, 0.807]",1.000
LIME,15,0.812,0.270,"[0.795, 0.829]",1.000
LIME,20,0.802,0.271,"[0.784, 0.819]",1.000
SHAP,5,0.848,0.268,"[0.831, 0.864]",1.000
SHAP,10,0.875,0.239,"[0.859, 0.888]",1.000
SHAP,15,0.899,0.227,"[0.884, 0.912]",1.000
SHAP,20,0.895,0.230,"[0.880, 0.909]",1.000
